<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
12.09.2018;105640;105710;105640;105710
12.09.2018;105630;105650;105620;105650
12.09.2018;105680;105700;105670;105700
12.09.2018;105700;105710;105700;105710
12.09.2018;105660;105690;105660;105670
12.09.2018;105690;105740;105680;105740
12.09.2018;105700;105740;105700;105740
12.09.2018;105750;105760;105710;105710
12.09.2018;105760;105760;105690;105690
12.09.2018;105750;105750;105740;105740
12.09.2018;105740;105750;105740;105750
12.09.2018;105760;105790;105760;105790
12.09.2018;105790;105790;105750;105760
12.09.2018;105790;105810;105780;105800
12.09.2018;105750;105750;105750;105750
12.09.2018;105800;105920;105800;105920
12.09.2018;105910;106000;105910;105930
12.09.2018;105920;105920;105870;105890
12.09.2018;105870;105870;105800;105800
12.09.2018;105800;105800;105750;105800
12.09.2018;105800;105800;105790;105790
12.09.2018;105820;105820;105810;105810
12.09.2018;105800;105800;105800;105800
12.09.2018;105780;105780;105780;105780
12.09.2018;105770;105770;105770;105770
12.09.2018;105770;105770;105740;105740
12.09.2018;105740;105780;105740;105760
12.09.2018;105760;105800;105740;105800
12.09.2018;105760;105770;105730;105740
12.09.2018;105720;105730;105720;105730
12.09.2018;105710;105720;105710;105720
12.09.2018;105720;105720;105720;105720
12.09.2018;105710;105710;105680;105690
12.09.2018;105690;105690;105690;105690
12.09.2018;105700;105700;105630;105650
12.09.2018;105690;105730;105660;105660
12.09.2018;105660;105680;105650;105680
12.09.2018;105680;105690;105680;105690
12.09.2018;105710;105710;105710;105710
12.09.2018;105720;105720;105720;105720
12.09.2018;105730;105730;105730;105730
12.09.2018;105800;105800;105800;105800
12.09.2018;105850;105880;105780;105810
12.09.2018;105840;105840;105840;105840
12.09.2018;105770;105770;105770;105770
12.09.2018;105760;105760;105760;105760
12.09.2018;105770;105790;105770;105770
12.09.2018;105830;105830;105790;105800
12.09.2018;105800;105800;105790;105790
12.09.2018;105760;105760;105730;105730
12.09.2018;105760;105770;105760;105770
12.09.2018;105770;105800;105730;105730
12.09.2018;105750;105750;105740;105740
12.09.2018;105770;105770;105770;105770
12.09.2018;105760;105760;105730;105730
12.09.2018;105770;105770;105770;105770
12.09.2018;105850;105850;105850;105850
12.09.2018;105820;105820;105820;105820
12.09.2018;105740;105740;105730;105730
12.09.2018;105720;105760;105720;105760
12.09.2018;105740;105740;105740;105740
12.09.2018;105810;105820;105780;105780
12.09.2018;105880;105920;105880;105900
12.09.2018;105900;105900;105900;105900
12.09.2018;105900;105910;105900;105910
12.09.2018;105870;105870;105810;105840
12.09.2018;105830;105860;105820;105860
12.09.2018;105840;105840;105830;105830
12.09.2018;105830;105830;105800;105800
12.09.2018;105850;105850;105850;105850
12.09.2018;105860;105900;105860;105860
12.09.2018;105840;105840;105840;105840
12.09.2018;105850;105850;105800;105800
12.09.2018;105800;105800;105790;105790
12.09.2018;105800;105800;105760;105760
12.09.2018;105720;105720;105710;105710
12.09.2018;105740;105760;105740;105760
12.09.2018;105790;105810;105790;105810
12.09.2018;105800;105820;105760;105760
12.09.2018;105740;105740;105740;105740
12.09.2018;105730;105730;105700;105700
12.09.2018;105710;105720;105710;105720
12.09.2018;105690;105690;105690;105690
12.09.2018;105740;105800;105740;105760
12.09.2018;105830;105830;105820;105820
12.09.2018;105770;105770;105770;105770
12.09.2018;105750;105750;105750;105750
12.09.2018;105750;105750;105740;105740
12.09.2018;105760;105760;105760;105760
12.09.2018;105770;105770;105770;105770
12.09.2018;105820;105830;105820;105830
12.09.2018;105900;105900;105900;105900
12.09.2018;105920;105970;105920;105970
12.09.2018;105940;105940;105940;105940
12.09.2018;105900;105900;105900;105900
12.09.2018;105860;105860;105800;105800
12.09.2018;105850;105850;105850;105850
12.09.2018;105880;105880;105880;105880
12.09.2018;105810;105810;105810;105810
12.09.2018;105900;105900;105900;105900
12.09.2018;105930;106050;105930;105930
12.09.2018;106030;106060;106010;106030
12.09.2018;106040;106050;105940;105940
12.09.2018;105910;105910;105910;105910
12.09.2018;105930;105950;105930;105940
12.09.2018;105920;105920;105900;105900
12.09.2018;105870;105870;105840;105850
12.09.2018;105850;105850;105850;105850
12.09.2018;105840;105840;105840;105840
12.09.2018;105840;105840;105820;105820
12.09.2018;105800;105800;105770;105770
12.09.2018;105770;105770;105720;105750
12.09.2018;105760;105760;105660;105660
12.09.2018;105690;105720;105690;105720
12.09.2018;105740;105740;105690;105690
12.09.2018;105680;105680;105630;105630
12.09.2018;105630;105640;105580;105610
12.09.2018;105580;105580;105560;105560
12.09.2018;105550;105550;105500;105500
12.09.2018;105500;105520;105450;105450
12.09.2018;105500;105500;105500;105500
12.09.2018;105510;105530;105480;105480
12.09.2018;105490;105520;105490;105520
12.09.2018;105510;105520;105490;105520
12.09.2018;105510;105640;105400;105640
12.09.2018;105630;105690;105620;105690
12.09.2018;105720;105720;105610;105610
12.09.2018;105640;105750;105640;105730
12.09.2018;105710;105710;105710;105710
12.09.2018;105670;105800;105670;105800
12.09.2018;105830;105830;105780;105780
12.09.2018;105730;105770;105730;105740
12.09.2018;105760;105780;105740;105740
12.09.2018;105720;105820;105720;105820
12.09.2018;105840;105840;105800;105820
12.09.2018;105790;105790;105790;105790
12.09.2018;105770;105790;105700;105700
12.09.2018;105650;105670;105630;105670
12.09.2018;105600;105610;105560;105560
12.09.2018;105570;105600;105570;105600
12.09.2018;105540;105540;105540;105540
12.09.2018;105530;105540;105470;105480
12.09.2018;105530;105540;105510;105540
12.09.2018;105490;105540;105450;105540
12.09.2018;105550;105550;105490;105490
12.09.2018;105500;105530;105500;105530
12.09.2018;105530;105620;105530;105620
12.09.2018;105570;105570;105560;105560
12.09.2018;105650;105680;105650;105680
12.09.2018;105670;105670;105540;105540
12.09.2018;105500;105520;105410;105410
12.09.2018;105480;105490;105480;105480
12.09.2018;105530;105530;105500;105520
12.09.2018;105510;105520;105490;105490
12.09.2018;105540;105540;105520;105520
12.09.2018;105490;105490;105320;105320
12.09.2018;105350;105450;105350;105440
12.09.2018;105410;105410;105410;105410
12.09.2018;105340;105350;105280;105280
12.09.2018;105280;105350;105280;105350
12.09.2018;105500;105680;105500;105670
12.09.2018;105700;105720;105700;105710
12.09.2018;105800;105920;105800;105870
12.09.2018;105900;106180;105900;106180
12.09.2018;106140;106250;106140;106170
12.09.2018;106140;106190;106110;106180
12.09.2018;106250;106340;106220;106250
12.09.2018;106260;106280;106250;106250
12.09.2018;106280;106280;106280;106280
12.09.2018;106280;106360;106280;106340
12.09.2018;106250;106260;106250;106260
12.09.2018;106380;106400;106380;106400
12.09.2018;106420;106450;106400;106400
12.09.2018;106370;106400;106370;106370
12.09.2018;106370;106520;106370;106480
12.09.2018;106420;106440;106390;106420
12.09.2018;106400;106400;106380;106400
12.09.2018;106430;106490;106400;106400
12.09.2018;106410;106550;106390;106480
12.09.2018;106500;106510;106450;106450
12.09.2018;106400;106400;106320;106400
12.09.2018;106430;106480;106380;106380
12.09.2018;106380;106380;106340;106350
12.09.2018;106320;106330;106270;106310
12.09.2018;106310;106310;106300;106300
12.09.2018;106330;106370;106330;106370
12.09.2018;106370;106370;106340;106340
12.09.2018;106370;106370;106310;106310
12.09.2018;106290;106290;106230;106250
12.09.2018;106310;106310;106310;106310
12.09.2018;106310;106330;106280;106280
12.09.2018;106310;106320;106280;106280
12.09.2018;106280;106280;106230;106230
12.09.2018;106090;106280;106090;106180
12.09.2018;106130;106130;106130;106130
12.09.2018;106100;106100;106060;106070
12.09.2018;106110;106110;106110;106110
12.09.2018;106180;106190;106180;106190
12.09.2018;106250;106250;106220;106230
12.09.2018;106220;106220;106170;106210
12.09.2018;106130;106130;106120;106120
12.09.2018;106120;106120;106120;106120
12.09.2018;106210;106210;106210;106210
12.09.2018;106200;106200;106140;106140
12.09.2018;106150;106150;106150;106150
12.09.2018;106100;106100;106090;106090
12.09.2018;106120;106150;106120;106140
12.09.2018;106160;106300;106160;106300
12.09.2018;106300;106300;106300;106300
12.09.2018;106310;106310;106310;106310
12.09.2018;106310;106310;106310;106310
12.09.2018;106280;106280;106260;106260
12.09.2018;106300;106320;106300;106300
12.09.2018;106280;106320;106280;106320
12.09.2018;106320;106320;106270;106270
12.09.2018;106290;106350;106290;106350
12.09.2018;106300;106300;106300;106300
12.09.2018;106250;106250;106250;106250
12.09.2018;106210;106210;106210;106210
12.09.2018;106300;106400;106300;106400
12.09.2018;106400;106400;106380;106380
12.09.2018;106350;106380;106350;106380
12.09.2018;106410;106410;106410;106410
12.09.2018;106430;106440;106420;106440
12.09.2018;106430;106430;106430;106430
12.09.2018;106390;106390;106390;106390
12.09.2018;106250;106250;106250;106250
12.09.2018;106260;106260;106220;106220
12.09.2018;106200;106200;105980;105980
12.09.2018;105960;106020;105950;106020
12.09.2018;106010;106010;105710;105710
12.09.2018;105660;105660;105530;105650
12.09.2018;105600;105860;105600;105860
12.09.2018;105920;105950;105840;105840
12.09.2018;105880;105920;105880;105920
12.09.2018;105860;105870;105860;105870
12.09.2018;105930;105970;105930;105960
12.09.2018;105870;105960;105860;105960
12.09.2018;106000;106100;106000;106100
12.09.2018;106100;106190;106100;106190
12.09.2018;106060;106060;106060;106060
12.09.2018;106040;106040;106040;106040
12.09.2018;106010;106010;106010;106010
12.09.2018;106080;106080;106080;106080
12.09.2018;106100;106100;106100;106100
12.09.2018;106100;106120;106100;106120
12.09.2018;106100;106120;106100;106120
12.09.2018;106150;106150;106150;106150
12.09.2018;106090;106090;106090;106090
12.09.2018;106060;106060;106060;106060
12.09.2018;106020;106020;106000;106000
12.09.2018;105960;105960;105950;105950
12.09.2018;106060;106060;106060;106060
12.09.2018;106090;106100;106090;106100
12.09.2018;106000;106000;106000;106000
12.09.2018;106030;106030;106030;106030
12.09.2018;106120;106120;106120;106120
12.09.2018;106100;106100;106100;106100
12.09.2018;106050;106060;106050;106060
12.09.2018;106120;106120;106120;106120
12.09.2018;106170;106170;106150;106150
12.09.2018;106190;106300;106190;106300
12.09.2018;106230;106230;106230;106230
12.09.2018;106100;106100;106100;106100
12.09.2018;106100;106100;106100;106100
12.09.2018;106120;106120;106120;106120
12.09.2018;106090;106090;106090;106090
12.09.2018;106150;106160;106140;106140
12.09.2018;106140;106160;106140;106160
12.09.2018;106200;106300;106200;106300
12.09.2018;106290;106290;106290;106290
12.09.2018;106290;106290;106290;106290
12.09.2018;106210;106210;106210;106210
12.09.2018;106200;106200;106200;106200
12.09.2018;106200;106200;106180;106180
12.09.2018;106200;106200;106150;106150
12.09.2018;106140;106140;106140;106140
12.09.2018;106100;106100;106100;106100
12.09.2018;106110;106120;106110;106120
12.09.2018;106200;106200;106200;106200
12.09.2018;106150;106150;106150;106150
12.09.2018;106150;106150;106150;106150
12.09.2018;106240;106270;106240;106270
12.09.2018;106260;106260;106260;106260
12.09.2018;106200;106220;106200;106220
12.09.2018;106130;106130;106130;106130
12.09.2018;106170;106170;106170;106170
12.09.2018;106130;106130;106130;106130
12.09.2018;106150;106150;106150;106150
12.09.2018;106170;106170;106170;106170
12.09.2018;106170;106170;106160;106160
12.09.2018;106130;106130;106130;106130
12.09.2018;106140;106140;106080;106080
12.09.2018;106120;106120;106120;106120
12.09.2018;106200;106200;106200;106200
12.09.2018;106220;106240;106220;106240
12.09.2018;106220;106220;106220;106220
12.09.2018;106160;106160;106160;106160
12.09.2018;106160;106160;106160;106160
12.09.2018;106200;106200;106200;106200
12.09.2018;106180;106200;106180;106200
12.09.2018;106190;106190;106190;106190
12.09.2018;106200;106200;106200;106200
12.09.2018;106180;106180;106180;106180
12.09.2018;106200;106200;106200;106200
12.09.2018;106200;106200;106200;106200
12.09.2018;106140;106140;106140;106140
12.09.2018;106170;106180;106160;106160
12.09.2018;106150;106150;106040;106040
12.09.2018;106000;106020;105990;106020
12.09.2018;106000;106000;106000;106000
12.09.2018;106010;106010;106010;106010
12.09.2018;105990;105990;105990;105990
12.09.2018;105960;105970;105950;105970
12.09.2018;105960;105960;105960;105960
12.09.2018;106000;106020;106000;106020
12.09.2018;106040;106070;106040;106070
12.09.2018;106020;106020;106020;106020
12.09.2018;106000;106000;105980;105980
12.09.2018;105900;105980;105900;105980
12.09.2018;105950;105950;105950;105950
12.09.2018;105950;105950;105950;105950
12.09.2018;105970;105970;105970;105970
12.09.2018;105930;105930;105800;105800
12.09.2018;105950;106000;105950;106000
12.09.2018;105850;105850;105850;105850
12.09.2018;105920;105920;105920;105920
12.09.2018;105950;105950;105950;105950
12.09.2018;105980;105980;105980;105980
12.09.2018;106010;106020;106010;106020
12.09.2018;106040;106040;106040;106040
12.09.2018;106030;106030;106030;106030
12.09.2018;106080;106080;106080;106080
12.09.2018;106050;106050;106050;106050
12.09.2018;106010;106040;106010;106040
12.09.2018;106010;106020;106000;106020
12.09.2018;106000;106000;106000;106000
12.09.2018;105920;105940;105920;105940
12.09.2018;105970;105970;105970;105970
13.09.2018;105890;106450;105890;106350
13.09.2018;106410;106500;106380;106410
13.09.2018;106400;106410;106300;106300
13.09.2018;106330;106360;106280;106360
13.09.2018;106330;106330;106280;106320
13.09.2018;106380;106470;106360;106440
13.09.2018;106480;106600;106440;106520
13.09.2018;106520;106540;106480;106480
13.09.2018;106540;106600;106540;106600
13.09.2018;106510;106560;106470;106510
13.09.2018;106510;106590;106490;106540
13.09.2018;106550;106550;106470;106470
13.09.2018;106480;106480;106440;106450
13.09.2018;106420;106470;106420;106470
13.09.2018;106440;106470;106370;106460
13.09.2018;106460;106550;106460;106530
13.09.2018;106490;106550;106480;106550
13.09.2018;106560;106650;106560;106630
13.09.2018;106590;106630;106590;106630
13.09.2018;106630;106650;106630;106650
13.09.2018;106660;106670;106580;106600
13.09.2018;106600;106640;106530;106640
13.09.2018;106640;106660;106630;106630
13.09.2018;106610;106640;106610;106640
13.09.2018;106610;106630;106600;106630
13.09.2018;106580;106580;106570;106570
13.09.2018;106610;106630;106610;106630
13.09.2018;106590;106600;106590;106600
13.09.2018;106580;106630;106560;106630
13.09.2018;106630;106630;106580;106590
13.09.2018;106580;106610;106580;106610
13.09.2018;106610;106620;106610;106620
13.09.2018;106620;106640;106620;106640
13.09.2018;106640;106680;106640;106680
13.09.2018;106690;106720;106680;106700
13.09.2018;106740;106750;106720;106750
13.09.2018;106750;106750;106720;106720
13.09.2018;106700;106700;106700;106700
13.09.2018;106720;106720;106720;106720
13.09.2018;106720;106720;106710;106710
13.09.2018;106710;106710;106710;106710
13.09.2018;106740;106760;106740;106760
13.09.2018;106760;106770;106740;106740
13.09.2018;106790;106860;106790;106860
13.09.2018;106890;106900;106860;106870
13.09.2018;106850;106920;106840;106920
13.09.2018;106930;106950;106930;106950
13.09.2018;106930;106930;106930;106930
13.09.2018;106880;106880;106880;106880
13.09.2018;106900;106920;106900;106920
13.09.2018;106950;107050;106950;106950
13.09.2018;107000;107000;106950;106950
13.09.2018;106950;106980;106950;106970
13.09.2018;106930;106930;106930;106930
13.09.2018;106940;106990;106940;106970
13.09.2018;106990;106990;106970;106970
13.09.2018;106970;107010;106940;106970
13.09.2018;106940;106990;106940;106990
13.09.2018;106990;106990;106950;106950
13.09.2018;106960;106980;106960;106970
13.09.2018;106970;107030;106970;106980
13.09.2018;106990;107050;106950;106950
13.09.2018;106950;106950;106920;106920
13.09.2018;106920;106920;106880;106900
13.09.2018;106880;106880;106880;106880
13.09.2018;106870;106870;106870;106870
13.09.2018;106910;106910;106850;106850
13.09.2018;106870;106920;106870;106920
13.09.2018;106950;106950;106950;106950
13.09.2018;106950;106950;106940;106940
13.09.2018;106890;106890;106880;106880
13.09.2018;106870;106890;106870;106890
13.09.2018;106870;106900;106870;106900
13.09.2018;106920;106920;106910;106910
13.09.2018;106900;106950;106900;106950
13.09.2018;106950;106950;106930;106930
13.09.2018;106900;106910;106890;106910
13.09.2018;106900;106900;106900;106900
13.09.2018;106890;106930;106890;106890
13.09.2018;106890;106890;106870;106870
13.09.2018;106860;106860;106860;106860
13.09.2018;106890;106910;106890;106910
13.09.2018;106900;106910;106900;106910
13.09.2018;106940;106940;106930;106930
13.09.2018;106960;106970;106930;106940
13.09.2018;106920;106920;106920;106920
13.09.2018;106910;106910;106910;106910
13.09.2018;106900;106900;106880;106880
13.09.2018;106860;106880;106820;106820
13.09.2018;106830;106830;106830;106830
13.09.2018;106900;106920;106900;106920
13.09.2018;106910;106910;106910;106910
13.09.2018;106950;106950;106950;106950
13.09.2018;106960;107150;106960;107140
13.09.2018;107110;107120;107080;107100
13.09.2018;107110;107110;107070;107070
13.09.2018;107060;107070;107040;107070
13.09.2018;107090;107090;107050;107070
13.09.2018;107070;107070;107020;107050
13.09.2018;107050;107050;107030;107030
13.09.2018;107040;107040;107020;107020
13.09.2018;107060;107140;107060;107110
13.09.2018;107130;107130;107090;107090
13.09.2018;107120;107130;107090;107120
13.09.2018;107140;107150;107090;107090
13.09.2018;107090;107090;107090;107090
13.09.2018;107090;107090;107050;107060
13.09.2018;107040;107040;107010;107030
13.09.2018;107020;107140;107020;107130
13.09.2018;107100;107110;107100;107100
13.09.2018;107140;107310;107140;107290
13.09.2018;107310;107310;107280;107290
13.09.2018;107270;107270;107270;107270
13.09.2018;107260;107290;107260;107290
13.09.2018;107310;107390;107310;107340
13.09.2018;107310;107340;107300;107340
13.09.2018;107340;107340;107310;107310
13.09.2018;107300;107320;107290;107320
13.09.2018;107330;107340;107300;107300
13.09.2018;107300;107370;107300;107350
13.09.2018;107340;107350;107340;107350
13.09.2018;107380;107380;107370;107370
13.09.2018;107380;107410;107380;107400
13.09.2018;107380;107380;107330;107350
13.09.2018;107400;107400;107340;107340
13.09.2018;107330;107330;107330;107330
13.09.2018;107320;107330;107310;107310
13.09.2018;107370;107390;107370;107390
13.09.2018;107350;107350;107310;107310
13.09.2018;107310;107310;107270;107280
13.09.2018;107280;107290;107250;107260
13.09.2018;107260;107270;107250;107250
13.09.2018;107200;107200;107170;107180
13.09.2018;107150;107190;107110;107170
13.09.2018;107170;107180;107170;107180
13.09.2018;107190;107200;107190;107190
13.09.2018;107160;107160;107130;107130
13.09.2018;107130;107150;107130;107150
13.09.2018;107160;107170;107110;107110
13.09.2018;107100;107100;107010;107010
13.09.2018;107040;107100;107020;107100
13.09.2018;107080;107080;107050;107080
13.09.2018;107070;107070;107060;107060
13.09.2018;107030;107080;107030;107080
13.09.2018;107100;107140;107100;107140
13.09.2018;107140;107180;107140;107160
13.09.2018;107140;107170;107110;107170
13.09.2018;107170;107170;107140;107140
13.09.2018;107130;107130;107120;107130
13.09.2018;107130;107130;107080;107090
13.09.2018;107080;107100;107080;107100
13.09.2018;107090;107090;107030;107030
13.09.2018;107030;107030;106980;107000
13.09.2018;107020;107030;107010;107030
13.09.2018;107030;107080;107030;107080
13.09.2018;107090;107100;107090;107100
13.09.2018;107150;107210;107150;107210
13.09.2018;107200;107260;107200;107220
13.09.2018;107230;107230;107210;107230
13.09.2018;107240;107240;107240;107240
13.09.2018;107220;107220;107220;107220
13.09.2018;107250;107250;107240;107240
13.09.2018;107220;107250;107220;107250
13.09.2018;107220;107220;107220;107220
13.09.2018;107250;107250;107250;107250
13.09.2018;107250;107260;107230;107230
13.09.2018;107230;107260;107230;107260
13.09.2018;107240;107240;107220;107240
13.09.2018;107270;107280;107270;107280
13.09.2018;107280;107330;107280;107280
13.09.2018;107300;107340;107300;107340
13.09.2018;107310;107310;107310;107310
13.09.2018;107300;107340;107300;107340
13.09.2018;107350;107350;107350;107350
13.09.2018;107340;107340;107340;107340
13.09.2018;107280;107280;107280;107280
13.09.2018;107290;107290;107290;107290
13.09.2018;107300;107360;107300;107360
13.09.2018;107390;107390;107300;107300
13.09.2018;107320;107320;107320;107320
13.09.2018;107290;107300;107290;107300
13.09.2018;107280;107300;107280;107300
13.09.2018;107310;107310;107310;107310
13.09.2018;107330;107330;107310;107330
13.09.2018;107320;107320;107320;107320
13.09.2018;107300;107300;107300;107300
13.09.2018;107340;107350;107340;107350
13.09.2018;107290;107300;107290;107300
13.09.2018;107290;107350;107290;107340
13.09.2018;107350;107350;107350;107350
13.09.2018;107310;107310;107310;107310
13.09.2018;107340;107360;107340;107360
13.09.2018;107390;107430;107380;107420
13.09.2018;107380;107400;107380;107400
13.09.2018;107370;107380;107360;107360
13.09.2018;107380;107380;107360;107360
13.09.2018;107370;107370;107360;107360
13.09.2018;107360;107360;107360;107360
13.09.2018;107370;107370;107370;107370
13.09.2018;107350;107350;107350;107350
13.09.2018;107360;107380;107360;107380
13.09.2018;107380;107390;107380;107390
13.09.2018;107390;107390;107390;107390
13.09.2018;107400;107420;107400;107410
13.09.2018;107410;107410;107410;107410
13.09.2018;107420;107420;107420;107420
13.09.2018;107400;107440;107400;107440
13.09.2018;107420;107440;107420;107430
13.09.2018;107430;107430;107390;107390
13.09.2018;107370;107370;107370;107370
13.09.2018;107350;107360;107330;107360
13.09.2018;107330;107340;107330;107340
13.09.2018;107330;107330;107330;107330
13.09.2018;107320;107320;107320;107320
13.09.2018;107350;107350;107350;107350
13.09.2018;107320;107320;107320;107320
13.09.2018;107340;107340;107330;107330
13.09.2018;107350;107410;107350;107410
13.09.2018;107450;107450;107450;107450
13.09.2018;107460;107510;107450;107470
13.09.2018;107460;107470;107450;107450
13.09.2018;107480;107480;107480;107480
13.09.2018;107500;107510;107490;107490
13.09.2018;107450;107460;107450;107460
13.09.2018;107440;107450;107430;107430
13.09.2018;107550;107750;107550;107690
13.09.2018;107750;107770;107730;107750
13.09.2018;107750;107750;107700;107700
13.09.2018;107710;107730;107660;107730
13.09.2018;107740;107750;107730;107730
13.09.2018;107760;107850;107760;107840
13.09.2018;107860;107880;107820;107850
13.09.2018;107840;107850;107820;107820
13.09.2018;107800;107800;107730;107770
13.09.2018;107770;107770;107770;107770
13.09.2018;107790;107830;107790;107820
13.09.2018;107830;107850;107810;107850
13.09.2018;107810;107810;107770;107770
13.09.2018;107780;107800;107770;107800
13.09.2018;107760;107760;107720;107740
13.09.2018;107750;107750;107720;107740
13.09.2018;107790;107790;107730;107730
13.09.2018;107730;107750;107730;107730
13.09.2018;107750;107750;107750;107750
13.09.2018;107720;107770;107720;107770
13.09.2018;107760;107760;107760;107760
13.09.2018;107760;107830;107760;107830
13.09.2018;107860;107990;107860;107920
13.09.2018;107920;108010;107920;107990
13.09.2018;108020;108090;107990;108050
13.09.2018;108040;108080;108000;108070
13.09.2018;108070;108100;108060;108100
13.09.2018;108100;108110;108060;108110
13.09.2018;108110;108110;108080;108100
13.09.2018;108080;108100;108040;108040
13.09.2018;108000;108010;108000;108000
13.09.2018;108000;108050;108000;108050
13.09.2018;108070;108070;108040;108040
13.09.2018;108020;108070;108020;108070
13.09.2018;108040;108040;108000;108000
13.09.2018;108010;108050;108000;108000
13.09.2018;107980;107980;107930;107930
13.09.2018;107930;107970;107930;107970
13.09.2018;107970;107970;107970;107970
13.09.2018;107980;108040;107980;108020
13.09.2018;108020;108040;108000;108030
13.09.2018;108040;108050;108040;108050
13.09.2018;108080;108080;108050;108050
13.09.2018;108050;108070;108000;108020
13.09.2018;108000;108030;108000;108030
13.09.2018;108000;108030;107980;107980
13.09.2018;107990;107990;107990;107990
13.09.2018;107970;108010;107970;108010
13.09.2018;108000;108030;107990;108030
13.09.2018;108030;108030;108030;108030
13.09.2018;107970;107970;107920;107940
13.09.2018;107960;107960;107930;107950
13.09.2018;107940;107940;107920;107930
13.09.2018;107950;107950;107910;107930
13.09.2018;107950;107950;107860;107900
13.09.2018;107910;107910;107910;107910
13.09.2018;107920;107970;107920;107970
13.09.2018;107930;107930;107910;107910
13.09.2018;107910;107910;107870;107870
13.09.2018;107810;107820;107760;107760
13.09.2018;107770;107780;107750;107750
13.09.2018;107750;107780;107730;107780
13.09.2018;107780;107800;107780;107800
13.09.2018;107770;107770;107770;107770
13.09.2018;107800;107840;107800;107840
13.09.2018;107840;107860;107840;107860
13.09.2018;107850;107850;107820;107820
13.09.2018;107770;107770;107760;107760
13.09.2018;107770;107790;107770;107790
13.09.2018;107740;107740;107740;107740
13.09.2018;107740;107740;107740;107740
13.09.2018;107790;107800;107790;107800
13.09.2018;107850;107860;107820;107820
13.09.2018;107890;107930;107890;107930
13.09.2018;107920;107920;107890;107890
13.09.2018;107910;107950;107910;107950
13.09.2018;107940;108000;107940;107970
13.09.2018;107940;107940;107920;107920
13.09.2018;107920;107920;107920;107920
13.09.2018;107890;107930;107890;107930
13.09.2018;107910;107910;107910;107910
13.09.2018;107950;108120;107950;108040
13.09.2018;108070;108110;108070;108110
13.09.2018;108100;108100;108070;108070
13.09.2018;108070;108070;108010;108010
13.09.2018;108050;108050;108040;108040
13.09.2018;108070;108100;108070;108100
13.09.2018;108080;108080;108050;108050
13.09.2018;108060;108080;108060;108080
13.09.2018;108050;108160;108050;108150
13.09.2018;108180;108210;108170;108210
13.09.2018;108200;108200;108130;108130
13.09.2018;108170;108170;108170;108170
13.09.2018;108140;108220;108140;108220
13.09.2018;108180;108220;108180;108220
13.09.2018;108210;108210;108180;108180
13.09.2018;108190;108210;108190;108200
13.09.2018;108220;108220;108210;108210
13.09.2018;108180;108180;108150;108150
13.09.2018;108160;108190;108160;108190
13.09.2018;108230;108250;108230;108250
13.09.2018;108270;108270;108250;108260
13.09.2018;108270;108270;108240;108260
13.09.2018;108200;108200;108170;108170
13.09.2018;108170;108170;108150;108160
13.09.2018;108150;108150;108150;108150
13.09.2018;108150;108150;108120;108150
13.09.2018;108150;108150;108130;108130
13.09.2018;108140;108140;108120;108140
13.09.2018;108180;108180;108180;108180
13.09.2018;108200;108240;108200;108210
13.09.2018;108230;108230;108230;108230
13.09.2018;108200;108200;108200;108200
13.09.2018;108210;108210;108160;108170
13.09.2018;108170;108170;108170;108170
13.09.2018;108130;108150;108080;108080
13.09.2018;108100;108120;108100;108110
13.09.2018;108120;108120;108120;108120
13.09.2018;108100;108100;108100;108100
13.09.2018;108110;108110;108110;108110
13.09.2018;108110;108110;108110;108110
13.09.2018;108110;108110;108090;108090
13.09.2018;108080;108140;108080;108130
13.09.2018;108150;108150;108150;108150
13.09.2018;108180;108200;108170;108200
13.09.2018;108200;108220;108200;108220
13.09.2018;108220;108220;108220;108220
13.09.2018;108210;108230;108210;108230
13.09.2018;108230;108230;108210;108210
13.09.2018;108220;108240;108200;108200
13.09.2018;108230;108230;108220;108230
13.09.2018;108240;108240;108240;108240
13.09.2018;108240;108240;108190;108190
13.09.2018;108180;108180;108180;108180
13.09.2018;108190;108190;108150;108180
13.09.2018;108200;108220;108200;108220
13.09.2018;108190;108200;108190;108200
13.09.2018;108140;108230;108140;108210
13.09.2018;108200;108250;108200;108230
13.09.2018;108250;108280;108240;108280
13.09.2018;108270;108300;108270;108270
13.09.2018;108290;108290;108290;108290
13.09.2018;108270;108320;108270;108320
13.09.2018;108290;108400;108290;108400
13.09.2018;108400;108400;108350;108400
13.09.2018;108420;108570;108420;108570
13.09.2018;108570;108630;108570;108630
13.09.2018;108650;108700;108630;108690
13.09.2018;108650;108680;108630;108680
13.09.2018;108700;108700;108660;108660
13.09.2018;108690;108700;108660;108690
13.09.2018;108690;108690;108630;108640
13.09.2018;108630;108630;108600;108600
13.09.2018;108600;108600;108600;108600
13.09.2018;108590;108740;108590;108680
13.09.2018;108660;108660;108640;108650
13.09.2018;108600;108600;108560;108600
13.09.2018;108590;108590;108570;108570
13.09.2018;108570;108580;108560;108560
13.09.2018;108590;108620;108590;108620
13.09.2018;108620;108620;108560;108560
13.09.2018;108570;108590;108540;108540
13.09.2018;108590;108600;108580;108600
13.09.2018;108540;108540;108510;108510
13.09.2018;108510;108510;108470;108480
13.09.2018;108500;108500;108450;108450
13.09.2018;108480;108540;108470;108470
13.09.2018;108440;108470;108430;108470
13.09.2018;108510;108510;108490;108490
13.09.2018;108450;108450;108410;108410
13.09.2018;108380;108430;108380;108410
